"Date/Time","Average Electricity Consumption (kWh/100 km)","Average Combustion Engine Consumption (L/100 km)","Distance (km)","Driving Time","Average Speed (km/h)"
"2025-04-15T11:16:44+02:00","21,3","0,0","7","0:14","31"
"2025-04-14T19:37:58+02:00","11,1","1,8","16","0:41","24"
"2025-04-14T08:22:41+02:00","9,1","3,2","63","0:49","78"
"2025-04-12T20:11:27+02:00","16,6","0,0","6","0:10","35"
"2025-04-12T17:51:02+02:00","5,9","4,4","56","0:53","63"
"2025-04-12T14:05:46+02:00","15,6","2,5","5","0:10","34"
"2025-04-12T10:11:24+02:00","7,5","4,3","51","0:40","76"
"2025-04-12T01:21:28+02:00","1,6","7,7","24","0:43","34"
"2025-04-11T19:48:48+02:00","2,8","5,2","94","1:40","56"
"2025-04-09T19:58:30+02:00","3,8","7,1","12","0:26","29"
"2025-04-09T08:16:34+02:00","7,9","5,3","12","0:23","31"
"2025-04-08T19:49:50+02:00","9,3","3,9","10","0:27","23"
"2025-04-08T08:26:16+02:00","16,1","5,3","7","0:18","24"
"2025-04-07T20:46:55+02:00","11,1","2,2","12","0:32","24"
"2025-04-07T08:15:10+02:00","8,4","3,5","64","0:56","68"
"2025-04-05T23:42:35+02:00","5,5","6,1","62","0:50","74"
"2025-04-05T19:54:59+02:00","8,8","4,0","66","1:09","57"
"2025-04-04T17:10:25+02:00","1,9","4,7","68","1:14","55"
"2025-04-04T12:35:31+02:00","26,3","6,4","1","0:03","19"
"2025-04-04T06:59:39+02:00","0,6","11,0","7","0:12","35"
"2025-04-04T06:45:34+02:00","4,5","5,0","11","0:15","43"
"2025-04-03T19:55:59+02:00","3,4","9,6","8","0:17","28"
"2025-04-02T19:58:49+02:00","4,4","6,5","26","0:50","32"
"2025-04-02T08:54:21+02:00","9,2","6,4","9","0:24","24"
"2025-04-02T02:28:39+02:00","5,8","5,6","73","3:25","21"
"2025-04-01T17:28:18+02:00","9,0","3,2","6","0:12","30"
"2025-04-01T08:29:23+02:00","18,7","5,3","7","0:27","17"
"2025-03-31T17:51:22+02:00","9,7","2,5","11","0:30","22"
"2025-03-31T07:30:50+02:00","8,7","3,8","64","0:54","71"
"2025-03-30T14:37:59+02:00","21,4","0,0","9","0:27","21"
"2025-03-30T09:04:15+02:00","22,0","0,0","3","0:10","23"
"2025-03-28T18:50:28+01:00","3,6","5,1","93","1:59","47"
"2025-03-28T00:16:40+01:00","6,6","5,0","43","0:56","46"
"2025-03-27T19:50:31+01:00","14,3","2,6","32","1:20","24"
"2025-03-27T14:25:25+01:00","25,9","0,0","1","0:05","12"
"2025-03-27T01:05:47+01:00","4,2","6,2","75","1:54","40"
"2025-03-26T08:49:08+01:00","17,6","5,1","7","0:19","23"
"2025-03-25T20:17:20+01:00","19,7","3,1","5","0:16","19"
"2025-03-25T17:50:28+01:00","18,7","0,0","6","0:14","27"
"2025-03-25T07:30:12+01:00","22,6","2,3","7","0:16","28"
"2025-03-24T20:30:19+01:00","12,9","1,8","22","1:02","22"
"2025-03-24T07:19:41+01:00","8,2","3,7","64","0:53","72"
"2025-03-23T02:15:02+01:00","3,5","6,4","49","0:32","90"
"2025-03-22T21:29:25+01:00","17,6","2,2","15","0:33","29"
"2025-03-22T13:21:13+01:00","7,6","5,0","49","0:33","90"
"2025-03-21T20:15:55+01:00","3,3","6,0","75","1:40","45"
"2025-03-21T08:29:56+01:00","5,5","9,1","7","0:17","26"
"2025-03-20T21:04:15+01:00","7,3","7,2","11","0:28","25"
"2025-03-20T01:32:58+01:00","4,8","6,4","18","0:47","24"
"2025-03-19T21:38:47+01:00","5,9","7,5","47","3:19","14"
"2025-03-19T10:33:49+01:00","8,4","7,6","7","0:14","32"
"2025-03-19T10:19:17+01:00","3,0","7,6","26","0:50","32"
"2025-03-18T07:27:29+01:00","11,1","7,5","7","0:13","33"
"2025-03-16T21:00:28+01:00","0,6","8,8","12","0:18","40"
"2025-03-16T18:08:43+01:00","10,0","4,7","13","0:21","39"
"2025-03-14T16:15:14+01:00","9,8","7,9","5","0:16","21"
"2025-03-12T23:45:22+01:00","13,1","3,1","24","0:51","29"
"2025-03-12T19:48:05+01:00","11,1","3,1","40","1:26","28"
"2025-03-12T08:40:28+01:00","12,1","4,8","10","0:24","26"
"2025-03-12T08:16:15+01:00","0,9","8,3","21","0:39","33"
"2025-03-11T18:23:57+01:00","6,5","4,4","21","0:50","25"
"2025-03-11T17:33:45+01:00","14,8","1,7","23","1:00","23"
"2025-03-10T08:25:19+01:00","8,2","4,0","64","0:55","70"
"2025-03-08T16:58:05+01:00","1,5","6,2","96","1:30","64"
"2025-03-07T23:25:00+01:00","7,7","5,4","28","0:56","30"
"2025-03-07T15:41:44+01:00","22,2","0,0","9","0:34","16"
"2025-03-07T09:16:19+01:00","15,5","5,6","9","0:13","41"
"2025-03-06T22:22:30+01:00","19,5","0,0","8","0:18","26"
"2025-03-06T11:07:56+01:00","2,9","9,8","8","0:18","27"
"2025-03-06T00:47:44+01:00","4,3","7,3","16","0:32","31"
"2025-03-05T18:20:31+01:00","13,1","15,3","1","0:07","14"
"2025-03-05T07:10:32+01:00","25,8","0,0","9","0:14","37"
"2025-03-03T20:54:17+01:00","7,4","5,2","87","1:09","75"
"2025-03-02T13:11:13+01:00","21,9","0,0","4","0:16","16"
"2025-02-28T08:53:30+01:00","24,8","0,0","4","0:12","22"
"2025-02-27T19:47:00+01:00","7,6","3,9","76","1:09","66"
"2025-02-27T08:43:59+01:00","18,4","2,5","13","0:32","25"
"2025-02-27T00:15:48+01:00","16,2","0,0","8","0:12","40"
"2025-02-26T18:24:19+01:00","14,7","15,1","1","0:04","19"
"2025-02-26T18:17:19+01:00","3,7","10,6","7","0:15","29"
"2025-02-25T18:55:03+01:00","7,8","5,8","22","0:53","25"
"2025-02-25T08:29:57+01:00","9,6","8,0","13","0:33","25"
"2025-02-24T18:50:57+01:00","10,4","2,2","11","0:24","27"
"2025-02-24T08:15:12+01:00","10,3","3,4","64","0:53","72"
"2025-02-23T21:27:20+01:00","5,2","5,1","63","0:52","73"
"2025-02-23T13:27:45+01:00","8,1","4,0","65","1:08","57"
"2025-02-23T01:27:47+01:00","17,3","4,6","4","0:10","27"
"2025-02-22T21:26:12+01:00","16,4","0,0","4","0:13","20"
"2025-02-22T13:57:18+01:00","22,3","0,0","1","0:09","13"
"2025-02-22T10:42:35+01:00","19,9","0,0","3","0:14","16"
"2025-02-21T21:35:56+01:00","27,4","8,8","1","0:06","11"
"2025-02-21T16:56:30+01:00","2,8","4,8","68","1:01","66"
"2025-02-21T08:35:05+01:00","20,7","2,3","9","0:20","29"
"2025-02-21T00:10:09+01:00","15,8","1,3","35","1:01","35"
"2025-02-20T11:06:06+01:00","1,5","10,0","9","0:16","36"
"2025-02-19T20:54:42+01:00","4,7","4,4","82","1:50","45"
"2025-02-19T08:17:59+01:00","11,9","5,0","9","0:18","30"
"2025-02-18T22:47:45+01:00","15,3","1,6","29","0:55","33"
"2025-02-18T16:45:41+01:00","11,9","0,0","9","0:22","24"
"2025-02-18T07:04:15+01:00","8,6","6,1","9","0:15","38"
"2025-02-17T20:11:31+01:00","9,8","3,9","28","0:43","40"
"2025-02-17T08:29:44+01:00","6,8","4,7","77","1:03","74"
"2025-02-16T20:19:27+01:00","1,7","5,8","48","0:34","84"
"2025-02-16T19:44:53+01:00","32,5","5,5","1","0:10","9"
"2025-02-16T12:17:41+01:00","5,0","5,9","120","1:20","90"
"2025-02-16T07:31:52+01:00","10,3","2,5","16","0:26","37"
"2025-02-16T07:03:16+01:00","6,8","4,1","9","0:22","26"
"2025-02-15T15:12:32+01:00","6,7","4,1","12","0:20","37"
"2025-02-15T12:43:11+01:00","4,6","8,7","10","0:14","47"
"2025-02-15T00:17:34+01:00","5,1","7,7","25","0:53","29"
"2025-02-14T18:19:15+01:00","7,3","3,0","34","1:02","33"
"2025-02-14T12:21:23+01:00","11,1","4,9","8","0:09","56"
"2025-02-14T12:12:00+01:00","20,6","11,6","2","0:10","12"
"2025-02-13T19:18:48+01:00","7,4","6,0","16","0:38","27"
"2025-02-13T07:28:52+01:00","2,5","9,5","12","0:17","42"
"2025-02-12T16:38:59+01:00","13,8","0,9","8","0:15","33"
"2025-02-12T07:17:44+01:00","26,9","0,0","7","0:13","32"
"2025-02-11T21:11:10+01:00","14,6","0,0","4","0:13","19"
"2025-02-11T18:43:41+01:00","15,8","0,0","7","0:18","24"
"2025-02-11T07:20:47+01:00","22,6","0,0","7","0:16","27"
"2025-02-10T18:36:06+01:00","13,1","1,9","13","0:35","22"
"2025-02-10T08:07:41+01:00","7,0","4,0","64","0:54","70"
"2025-02-09T18:40:47+01:00","5,1","5,1","50","0:36","83"
"2025-02-09T12:55:44+01:00","7,5","5,3","51","0:35","86"
"2025-02-07T21:12:31+01:00","17,9","1,4","20","0:36","33"
"2025-02-07T09:04:34+01:00","26,2","5,3","4","0:18","13"
"2025-02-06T19:08:53+01:00","1,6","5,6","75","0:59","77"
"2025-02-06T17:59:54+01:00","4,3","8,9","10","0:25","26"
"2025-02-06T11:16:50+01:00","10,7","17,1","1","0:05","16"
"2025-02-06T08:27:17+01:00","6,2","8,4","10","0:22","28"
"2025-02-05T20:32:38+01:00","5,7","8,7","12","0:26","29"
"2025-02-05T08:20:13+01:00","12,5","7,8","7","0:20","22"
"2025-02-04T20:13:09+01:00","3,9","10,2","16","0:46","22"
"2025-02-04T07:46:57+01:00","8,3","7,7","9","0:19","29"
"2025-02-03T22:53:14+01:00","2,0","10,5","6","0:14","28"
"2025-02-03T20:32:15+01:00","11,4","6,7","13","0:28","28"
"2025-02-03T07:05:02+01:00","30,1","0,0","7","0:14","31"
"2025-01-31T14:16:32+01:00","8,0","3,9","84","1:20","63"
"2025-01-27T15:38:46+01:00","18,6","0,2","12","0:16","43"
"2025-01-27T15:13:18+01:00","13,6","2,1","31","0:51","37"
"2025-01-24T20:37:26+01:00","8,9","5,4","23","0:59","23"
"2025-01-24T16:34:14+01:00","9,0","4,6","40","0:52","46"
"2025-01-21T17:54:02+01:00","13,3","2,2","60","1:48","34"
"2025-01-21T16:24:10+01:00","16,1","5,2","9","0:32","18"

